Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
1;0.010086;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
2;0.020045;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
3;0.030051;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
4;0.040062;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
5;0.050050;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
6;0.060079;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
7;0.070082;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
8;0.080050;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
9;0.090017;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
10;0.100012;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
11;0.110072;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
12;0.120041;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
13;0.130008;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
14;0.140083;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
15;0.150050;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
16;0.160033;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
17;0.170073;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
18;0.180026;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
19;0.190051;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
20;0.200050;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
21;0.210003;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
22;0.220038;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
23;0.230068;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
24;0.240049;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
25;0.250017;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
26;0.260082;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
27;0.270030;810;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
28;0.280052;810;  8.432728756307E+00;  1.122724573806E-01; -5.241743970155E-03;  8.433477743969E+00
29;0.290033;810; -9.036807788753E-01;  5.231618066605E-03;  1.968957841494E-02;  9.039103934763E-01
30;0.300011;810;  3.852134519662E+01;  1.894978127450E-02;  2.874837895793E-01;  3.852242258453E+01
31;0.310026;810;  3.825845732127E+01;  2.630803924764E-01;  4.070188513006E-01;  3.826152678921E+01
32;0.320045;810;  2.768447412617E+01;  1.276636333619E-01;  2.730106815281E-01;  2.768611457893E+01
33;0.330016;810;  2.515247737222E+01; -1.930042422773E-01;  2.507162013335E-01;  2.515446734104E+01
34;0.340059;810;  2.973778326461E+01; -2.665235477153E-01;  2.682823310973E-01;  2.974018768776E+01
35;0.350022;810;  2.926471352658E+01;  8.386658755731E-02;  3.079879218498E-01;  2.926645431133E+01
36;0.360020;810;  2.334856561160E+01; -6.075540925014E-02;  2.520442855151E-01;  2.335000500344E+01
37;0.370057;810;  2.279556390710E+01; -1.244954137041E-02;  2.366864945105E-01;  2.279679603212E+01
38;0.380025;810;  2.234505709332E+01; -1.587128780636E-01;  2.090739101530E-01;  2.234659880566E+01
39;0.390067;810;  1.954981849426E+01; -1.345952814254E-01;  2.077811209966E-01;  1.955138593662E+01
40;0.400051;810;  2.218111400144E+01; -5.381805848007E-02;  1.777073802538E-01;  2.218189114213E+01
41;0.410077;810;  1.990388514526E+01;  8.018250337839E-02;  1.709738690572E-01;  1.990478096271E+01
42;0.420008;810;  1.862308692254E+01; -1.799099209344E-01;  1.625759364230E-01;  1.862466550140E+01
43;0.430011;810;  1.991630339580E+01;  4.549767685270E-02;  1.558291141121E-01;  1.991696497223E+01
44;0.440023;810;  1.890244453313E+01; -5.772774853976E-03;  1.499337001000E-01;  1.890304004036E+01
45;0.450078;810;  1.889289511579E+01;  8.058231153251E-02;  1.544501596311E-01;  1.889369826733E+01
46;0.460055;810;  1.815519294645E+01;  1.030326929594E-01;  1.320186167955E-01;  1.815596528896E+01
47;0.470079;810;  1.802529410217E+01;  1.226173846810E-01;  1.180456829665E-01;  1.802609767188E+01
48;0.480019;810;  1.773249263387E+01; -5.105459998640E-02;  1.405718052808E-01;  1.773312330118E+01
49;0.490026;810;  1.880745710049E+01; -1.325248097845E-01;  1.170421243792E-01;  1.880828818024E+01
50;0.500051;810;  1.879501481813E+01; -5.769895996642E-02;  1.160987090486E-01;  1.879546195479E+01
51;0.510031;810;  1.787237247822E+01; -5.630951079285E-02;  1.189463829166E-01;  1.787285699051E+01
52;0.520034;810;  1.653210631083E+01;  3.595103483183E-02;  1.004417284976E-01;  1.653245051679E+01
53;0.530035;810;  1.755987752865E+01; -6.141059167698E-02;  8.815671590787E-02;  1.756020619721E+01
54;0.540025;810;  1.715433253276E+01; -1.898700879967E-02;  9.575265825104E-02;  1.715461027603E+01
55;0.550021;810;  1.782729073163E+01; -1.910058587860E-02;  8.784310127988E-02;  1.782751738389E+01
56;0.560039;810;  1.822932935865E+01;  1.311570652326E-01;  6.946798588206E-02;  1.822993353918E+01
57;0.570038;810;  1.650771290706E+01; -1.253333602567E-01;  6.320643125571E-02;  1.650830969319E+01
58;0.580021;810;  1.740242143762E+01;  8.518735482010E-02;  7.743132294987E-02;  1.740280219930E+01
59;0.590068;810;  1.617335104888E+01; -2.969758761143E-02;  5.478601328758E-02;  1.617347110562E+01
60;0.600039;810;  1.621915854552E+01;  2.955740972739E-02;  5.731879950971E-02;  1.621928676021E+01
61;0.610024;810;  1.550761274868E+01;  3.990859555975E-03;  5.586015436529E-02;  1.550771386913E+01
62;0.620030;810;  1.572799337371E+01; -5.211556728596E-02;  4.848832118674E-02;  1.572815445985E+01
63;0.630065;810;  1.608850384987E+01;  9.289428500332E-02;  5.682022324897E-02;  1.608887236611E+01
64;0.640038;810;  1.529298393290E+01; -5.192038270456E-03;  3.751729446226E-02;  1.529303083357E+01
65;0.650028;810;  1.467844837479E+01;  2.636619466145E-02;  3.309438536037E-02;  1.467850936253E+01
66;0.660064;810;  1.297087038954E+01; -3.763641328144E-03;  3.115150716837E-02;  1.297090834304E+01
67;0.670028;810;  1.329637002065E+01; -9.594628015115E-02;  3.075505186365E-02;  1.329675175702E+01
68;0.680068;810;  1.334990829894E+01; -8.535275231338E-02;  3.092527443289E-02;  1.335021696659E+01
69;0.690082;810;  1.423571418952E+01; -7.129098315984E-02;  3.901827275809E-02;  1.423594616861E+01
70;0.700071;810;  1.383637378333E+01; -6.944823434360E-02;  3.486365858835E-02;  1.383659199384E+01
71;0.710008;810;  1.226755744495E+01; -7.060824798494E-02;  3.549410291724E-02;  1.226781198997E+01
72;0.720074;810;  1.220527728129E+01; -1.209990334726E-01;  3.678619669014E-02;  1.220593247169E+01
73;0.730060;810;  1.415960004491E+01; -3.419277637130E-02;  3.950468571736E-02;  1.415969643736E+01
74;0.740071;810;  1.434209907486E+01; -5.978648943020E-02;  3.529606045384E-02;  1.434226711888E+01
75;0.750075;810;  1.183848431951E+01;  1.807402551428E-02;  3.952689578806E-02;  1.183856410335E+01
76;0.760053;810;  9.779080186531E+00;  7.044222031207E-04;  2.907080654598E-02;  9.779123421995E+00
77;0.770011;810;  9.195439406019E+00;  1.355788026009E-02;  2.588345287504E-02;  9.195485829417E+00
78;0.780016;810;  9.815518945301E+00; -1.746838296701E-02;  2.953983590491E-02;  9.815578939210E+00
79;0.790026;810;  1.057703994543E+01; -9.619874518748E-03;  3.593808204841E-02;  1.057710537410E+01
80;0.800020;810;  1.183618324405E+01;  4.118344953989E-04;  3.879214509579E-02;  1.183624682012E+01
81;0.810042;810;  1.069987122637E+01; -4.096574995516E-02;  3.157767210528E-02;  1.069999624312E+01
82;0.820073;810;  8.847028004340E+00;  6.710587600599E-02;  2.746474872012E-02;  8.847325133654E+00
83;0.830037;810;  7.707838381823E+00;  7.119687452319E-03;  2.878279727826E-02;  7.707895410530E+00
84;0.840042;810;  7.800397723334E+00; -1.725109995826E-02;  2.567855953385E-02;  7.800459065405E+00
85;0.850034;810;  8.651429213427E+00; -2.942252843088E-02;  2.572303200541E-02;  8.651517485071E+00
86;0.860073;810;  8.240525611834E+00; -2.367835862949E-02;  2.203657895776E-02;  8.240589095130E+00
87;0.870002;810;  8.280661916267E+00;  3.664224627854E-03;  2.064021025152E-02;  8.280688450626E+00
88;0.880076;810;  7.721772817009E+00; -1.475617342321E-02;  1.928924289901E-02;  7.721811008892E+00
89;0.890053;810;  6.747551782509E+00;  8.765122393991E-03;  1.905746082866E-02;  6.747584387900E+00
90;0.900064;810;  6.259440886630E+00;  4.087715458899E-02;  1.925735476479E-02;  6.259603981139E+00
91;0.910076;810;  6.187487470128E+00;  3.544226976212E-02;  1.587983594983E-02;  6.187609353916E+00
92;0.920048;810;  6.167556591260E+00;  4.486667453157E-02;  1.526707562107E-02;  6.167738678679E+00
93;0.930076;810;  6.098891441933E+00;  1.373242967867E-02;  1.796327129839E-02;  6.098933355860E+00
94;0.940014;810;  6.003849343095E+00; -3.414744664971E-03;  1.720513016894E-02;  6.003874966351E+00
95;0.950011;810;  5.515768889194E+00;  1.110428842550E-03;  1.449759028744E-02;  5.515788053594E+00
96;0.960006;810;  5.191676752113E+00;  1.194970553300E-02;  1.404440736419E-02;  5.191709500663E+00
97;0.970077;810;  5.235425544104E+00;  1.990885788987E-02;  1.384441153169E-02;  5.235481702595E+00
98;0.980023;810;  5.225360451907E+00;  2.154871016123E-02;  1.315162928894E-02;  5.225421434163E+00
99;0.990015;810;  5.256387543007E+00;  2.987428449662E-02;  1.369787501382E-02;  5.256490284109E+00
100;1.000022;810;  5.154573337822E+00;  3.099939279868E-02;  1.363189420531E-02;  5.154684576759E+00
101;1.010044;810;  4.981874964262E+00;  4.372382529030E-02;  1.337563535712E-02;  4.982084788526E+00
102;1.020080;810;  4.926210862184E+00;  3.028474108443E-02;  1.362049533496E-02;  4.926322780953E+00
103;1.030048;810;  4.771929471346E+00;  2.857950286893E-02;  1.225505090502E-02;  4.772030789272E+00
104;1.040049;810;  4.779880222545E+00;  1.334497276453E-02;  1.126098462144E-02;  4.779912116341E+00
105;1.050014;810;  4.840752327756E+00;  9.952850848724E-03;  1.057974771464E-02;  4.840774120838E+00
106;1.060015;810;  4.835672166946E+00;  2.462705669112E-03;  1.021808939438E-02;  4.835683589777E+00
107;1.070013;810;  4.814666699604E+00; -6.502151690298E-03;  1.067435113119E-02;  4.814682922895E+00
108;1.080029;810;  4.647754049545E+00;  4.125966738803E-03;  1.012977205593E-02;  4.647766919817E+00
109;1.090039;810;  4.527740745927E+00;  1.520195422653E-02;  9.737689200943E-03;  4.527776737465E+00
110;1.100020;810;  4.543704262426E+00;  2.983058898123E-02;  7.700715886426E-03;  4.543808709602E+00
111;1.110014;810;  4.442112813354E+00;  4.921219685806E-02;  5.286639856379E-03;  4.442388550706E+00
112;1.120001;810;  4.308637650775E+00;  5.000974672414E-02;  5.011105633834E-03;  4.308930782877E+00
113;1.130013;810;  4.159358898575E+00;  4.225351766679E-02;  4.499763164004E-03;  4.159575946509E+00
114;1.140018;810;  3.927865664604E+00;  4.598237159033E-02;  3.445321472577E-03;  3.928136317379E+00
115;1.150063;810;  3.744247825451E+00;  5.465221670656E-02;  2.342527069233E-03;  3.744647397369E+00
116;1.160001;810;  3.625563466214E+00;  6.239493054543E-02;  1.585842744886E-03;  3.626100672872E+00
117;1.170002;810;  3.666038234147E+00;  6.911992719158E-02;  1.295232311915E-03;  3.666690002739E+00
118;1.180032;810;  3.653575315593E+00;  7.293200336424E-02;  1.057777283451E-03;  3.654303323852E+00
119;1.190066;810;  3.628625324866E+00;  7.141092657710E-02;  9.217096863337E-04;  3.629328053268E+00
120;1.200021;810;  3.554104290184E+00;  6.606211564088E-02;  2.996385618370E-04;  3.554718216457E+00
121;1.210032;810;  3.366726132658E+00;  5.366679128409E-02;  3.678979557153E-04;  3.367153859294E+00
122;1.220070;810;  3.165689820341E+00;  5.633670789036E-02;  2.316477847886E-04;  3.166191073976E+00
123;1.230050;810;  3.067114365949E+00;  6.094539363760E-02; -1.719598044171E-04;  3.067719821689E+00
124;1.240039;810;  3.055284627703E+00;  6.004549225422E-02; -1.775683016211E-04;  3.055874612766E+00
125;1.250046;810;  3.076487862451E+00;  6.623384383151E-02; -2.009275215471E-05;  3.077200755602E+00
126;1.260071;810;  3.083112739603E+00;  7.049574819214E-02;  3.008576519617E-04;  3.083918595899E+00
127;1.270038;810;  2.999574266692E+00;  6.471115272215E-02;  1.010272127406E-03;  3.000272376858E+00
128;1.280037;810;  2.847957993427E+00;  5.394197262412E-02;  1.812411760703E-03;  2.848469370306E+00
129;1.290008;810;  2.700251866294E+00;  4.324972146318E-02;  4.983849074655E-04;  2.700598253761E+00
130;1.300021;810;  2.617936579199E+00;  3.851353244297E-02; -7.330670835093E-04;  2.618219960637E+00
131;1.310033;810;  2.568877967113E+00;  4.030701642998E-02; -1.628541706490E-03;  2.569194682705E+00
132;1.320014;810;  2.565639291283E+00;  4.439528352219E-02; -2.576690225443E-03;  2.566024659567E+00
133;1.330017;810;  2.543329769675E+00;  5.491079761214E-02; -2.471621710518E-03;  2.543923666685E+00
134;1.340041;810;  2.469242509550E+00;  5.595675095241E-02; -2.202493431187E-03;  2.469877442288E+00
135;1.350011;810;  2.415897741579E+00;  4.719252640597E-02; -2.452894353131E-03;  2.416359875724E+00
136;1.360019;810;  2.394711963508E+00;  5.154395120058E-02; -2.736929948838E-03;  2.395268180780E+00
137;1.370075;810;  2.347032840918E+00;  6.598160800958E-02; -2.860427287149E-03;  2.347961863188E+00
138;1.380050;810;  2.335448512287E+00;  7.609878337916E-02; -3.543131868172E-03;  2.336690679606E+00
139;1.390027;810;  2.343242861863E+00;  7.889056110104E-02; -3.545668690684E-03;  2.344573181214E+00
140;1.400027;810;  2.293714755669E+00;  8.347026986044E-02; -2.717457188130E-03;  2.295234639617E+00
141;1.410041;810;  2.251722196257E+00;  8.453702479693E-02; -2.724909755638E-03;  2.253310183444E+00
142;1.420060;810;  2.244628832096E+00;  7.621326327859E-02; -3.298463262336E-03;  2.245924739442E+00
143;1.430065;810;  2.199095535100E+00;  6.417263613741E-02; -3.469654740500E-03;  2.200034394783E+00
144;1.440016;810;  2.119726475235E+00;  5.640807498376E-02; -3.864924876798E-03;  2.120480402734E+00
145;1.450030;810;  2.094739613364E+00;  5.623363539982E-02; -5.167471649497E-03;  2.095500649561E+00
146;1.460061;810;  2.113332568744E+00;  6.379207017917E-02; -5.851118487783E-03;  2.114303244551E+00
147;1.470006;810;  2.084305735184E+00;  7.182161958634E-02; -5.910232960106E-03;  2.085551167824E+00
148;1.480073;810;  2.036792968141E+00;  7.083374670692E-02; -5.402222411420E-03;  2.038031451855E+00
149;1.490044;810;  2.039475024169E+00;  6.345776425057E-02; -4.697617438567E-03;  2.040467429209E+00
150;1.500033;810;  2.063627677245E+00;  5.437896967193E-02; -4.197480618346E-03;  2.064348294614E+00
151;1.510083;810;  2.053305372044E+00;  3.992185423197E-02; -3.607447107855E-03;  2.053696598571E+00
152;1.520074;810;  2.002973615839E+00;  2.590463068125E-02; -2.610402573094E-03;  2.003142823126E+00
153;1.530011;810;  1.956991896243E+00;  3.102823636735E-02; -2.129306232998E-03;  1.957239016410E+00
154;1.540008;810;  1.967565438336E+00;  2.311049999214E-02; -1.273287165107E-03;  1.967701570514E+00
155;1.550027;810;  1.982769643562E+00; -2.024168270441E-03;  1.998751278199E-04;  1.982770686851E+00
156;1.560025;810;  1.980847552053E+00; -1.961007927513E-02;  1.870174651595E-03;  1.980945500824E+00
157;1.570022;810;  1.978180879191E+00; -1.692801104037E-02;  2.963708663480E-03;  1.978255527460E+00
158;1.580017;810;  1.978246784959E+00; -4.513665340612E-03;  4.090277075711E-03;  1.978256162821E+00
159;1.590026;810;  1.949101534292E+00; -7.570915628394E-03;  5.504574780488E-03;  1.949124010956E+00
160;1.600025;810;  1.914957364758E+00; -2.441114411320E-02;  6.942630366744E-03;  1.915125534505E+00
